proteinA	proteinB	label	prediction	predictionLabel
362663_ECP_3406	362663_ECP_4448	1	0.8961855	1
362663_ECP_0442	362663_ECP_0985	1	0.05437879	0
362663_ECP_3384	362663_ECP_4447	1	0.9874481	1
362663_ECP_0161	362663_ECP_3117	1	0.017364077	0
362663_ECP_1481	362663_ECP_2475	1	0.66569084	1
362663_ECP_3407	362663_ECP_3430	1	0.9094479	1
362663_ECP_0748	362663_ECP_0750	1	0.102335684	0
362663_ECP_3396	362663_ECP_4197	1	0.99466264	1
362663_ECP_3313	362663_ECP_4199	1	0.62767524	1
362663_ECP_2368	362663_ECP_2600	1	0.46550858	0
362663_ECP_3253	362663_ECP_4198	1	0.99418724	1
362663_ECP_3390	362663_ECP_3404	1	0.99904275	1
362663_ECP_1798	362663_ECP_3878	1	0.6832652	1
362663_ECP_3340	362663_ECP_3341	1	0.35317385	0
362663_ECP_4128	362663_ECP_4243	1	0.54292077	1
362663_ECP_1091	362663_ECP_1786	1	0.025668345	0
362663_ECP_1814	362663_ECP_1815	1	0.301262	0
362663_ECP_3385	362663_ECP_4198	1	0.9083524	1
362663_ECP_1291	362663_ECP_1292	1	0.51435024	1
362663_ECP_3471	362663_ECP_4029	1	0.7672898	1
362663_ECP_3385	362663_ECP_4199	1	0.65468574	1
362663_ECP_1663	362663_ECP_3405	1	0.9955751	1
362663_ECP_2188	362663_ECP_2189	1	0.11321751	0
362663_ECP_0161	362663_ECP_2034	1	0.07698355	0
362663_ECP_0177	362663_ECP_1665	1	0.79686123	1
362663_ECP_1835	362663_ECP_1836	1	0.2310481	0
362663_ECP_2610	362663_ECP_4197	1	0.8798031	1
362663_ECP_0709	362663_ECP_1255	1	0.31906492	0
362663_ECP_0178	362663_ECP_3429	1	0.6765113	1
362663_ECP_1081	362663_ECP_3395	1	0.98926103	1
362663_ECP_0918	362663_ECP_2905	1	0.5081961	1
362663_ECP_2607	362663_ECP_4447	1	0.9989548	1
362663_ECP_0885	362663_ECP_2552	1	0.5818729	1
362663_ECP_3726	362663_ECP_3727	1	0.0016524133	0
362663_ECP_3395	362663_ECP_4196	1	0.9963119	1
362663_ECP_2683	362663_ECP_2686	1	0.14453779	0
362663_ECP_3931	362663_ECP_3934	1	0.95990926	1
362663_ECP_1244	362663_ECP_3120	1	0.0188857	0
362663_ECP_2448	362663_ECP_4126	1	0.2335113	0
362663_ECP_0978	362663_ECP_3083	1	0.62171584	1
362663_ECP_3399	362663_ECP_4447	1	0.98562473	1
362663_ECP_3401	362663_ECP_3403	1	0.7835431	1
362663_ECP_3382	362663_ECP_3405	1	0.99251235	1
362663_ECP_2209	362663_ECP_3759	1	0.16736154	0
362663_ECP_3392	362663_ECP_3405	1	0.9983482	1
362663_ECP_3390	362663_ECP_3395	1	0.9994781	1
362663_ECP_2335	362663_ECP_2470	1	0.6080821	1
362663_ECP_3386	362663_ECP_3734	1	0.9953781	1
362663_ECP_2607	362663_ECP_3390	1	0.9981427	1
362663_ECP_0022	362663_ECP_3735	1	0.950313	1
362663_ECP_3401	362663_ECP_3404	1	0.96872616	1
362663_ECP_3313	362663_ECP_3405	1	0.9979676	1
362663_ECP_1661	362663_ECP_1662	1	0.73150444	1
362663_ECP_1063	362663_ECP_1855	1	0.53039145	1
362663_ECP_0163	362663_ECP_0620	1	0.5217601	1
362663_ECP_0180	362663_ECP_4197	1	0.98511314	1
362663_ECP_3382	362663_ECP_3391	1	0.8479978	1
362663_ECP_3728	362663_ECP_3730	1	0.00023813064	0
362663_ECP_2185	362663_ECP_2186	1	0.14268038	0
362663_ECP_0622	362663_ECP_1242	1	0.07202456	0
362663_ECP_3253	362663_ECP_3734	1	0.9969782	1
362663_ECP_3544	362663_ECP_3546	1	0.49760664	0
362663_ECP_1826	362663_ECP_1830	1	0.11917204	0
362663_ECP_3390	362663_ECP_3403	1	0.96216077	1
362663_ECP_0168	362663_ECP_1657	1	0.033832695	0
362663_ECP_3721	362663_ECP_3728	1	0.00074571214	0
362663_ECP_1665	362663_ECP_3431	1	0.9755281	1
362663_ECP_2477	362663_ECP_2906	1	0.5244632	1
362663_ECP_3397	362663_ECP_3403	1	0.94824064	1
362663_ECP_3392	362663_ECP_3401	1	0.9968899	1
362663_ECP_3399	362663_ECP_3404	1	0.9993249	1
