proteinA	proteinB	label	prediction	predictionLabel
7227_FBpp0079304	7227_FBpp0070301	1	0.9999931	1
7227_FBpp0085902	7227_FBpp0289817	1	0.9968395	1
7227_FBpp0077698	7227_FBpp0079443	1	0.6782336	1
7227_FBpp0074529	7227_FBpp0080890	1	0.8973412	1
7227_FBpp0071259	7227_FBpp0071497	1	0.37121788	0
7227_FBpp0075612	7227_FBpp0112404	1	0.35011142	0
7227_FBpp0070561	7227_FBpp0078997	1	0.99753433	1
7227_FBpp0087276	7227_FBpp0087923	1	0.6660936	1
7227_FBpp0076172	7227_FBpp0300988	1	0.9999044	1
7227_FBpp0073762	7227_FBpp0288404	1	0.99755424	1
7227_FBpp0086400	7227_FBpp0087319	1	0.5243778	1
7227_FBpp0070476	7227_FBpp0290578	1	0.21578413	0
7227_FBpp0071088	7227_FBpp0075302	1	0.9999988	1
7227_FBpp0070878	7227_FBpp0088439	1	0.99974304	1
7227_FBpp0078516	7227_FBpp0305226	1	0.6632853	1
7227_FBpp0083485	7227_FBpp0301154	1	0.75046194	1
7227_FBpp0082062	7227_FBpp0087319	1	0.9983585	1
7227_FBpp0070150	7227_FBpp0087609	1	0.99988306	1
7227_FBpp0071046	7227_FBpp0086096	1	0.99310595	1
7227_FBpp0089103	7227_FBpp0077836	1	0.99960554	1
7227_FBpp0074226	7227_FBpp0112496	1	0.9988883	1
7227_FBpp0079295	7227_FBpp0076445	1	0.33814344	0
7227_FBpp0078416	7227_FBpp0079607	1	0.9999944	1
7227_FBpp0071543	7227_FBpp0080256	1	0.8250114	1
7227_FBpp0077694	7227_FBpp0083573	1	0.99848366	1
7227_FBpp0074516	7227_FBpp0084726	1	0.32920074	0
7227_FBpp0081263	7227_FBpp0084616	1	0.9996345	1
7227_FBpp0072463	7227_FBpp0305079	1	0.82239336	1
7227_FBpp0075686	7227_FBpp0081367	1	0.9992967	1
7227_FBpp0070143	7227_FBpp0293236	1	0.98428965	1
7227_FBpp0089138	7227_FBpp0086098	1	0.98639613	1
7227_FBpp0074237	7227_FBpp0302532	1	0.4727801	0
7227_FBpp0077141	7227_FBpp0080871	1	0.9997943	1
7227_FBpp0076723	7227_FBpp0088040	1	0.99465644	1
7227_FBpp0070242	7227_FBpp0071553	1	0.38597596	0
7227_FBpp0111838	7227_FBpp0305700	1	0.63018304	1
7227_FBpp0078635	7227_FBpp0288404	1	0.97669804	1
7227_FBpp0080817	7227_FBpp0086475	1	0.2994122	0
7227_FBpp0085537	7227_FBpp0293061	1	0.90867174	1
7227_FBpp0100176	7227_FBpp0100186	1	0.9995044	1
7227_FBpp0071596	7227_FBpp0079514	1	0.76687944	1
7227_FBpp0083367	7227_FBpp0073621	1	0.52518904	1
7227_FBpp0086405	7227_FBpp0087355	1	0.13231938	0
7227_FBpp0080143	7227_FBpp0070301	1	0.9999685	1
7227_FBpp0078532	7227_FBpp0086705	1	0.43495238	0
7227_FBpp0070942	7227_FBpp0088439	1	0.99948066	1
7227_FBpp0076167	7227_FBpp0088491	1	0.0008937792	0
7227_FBpp0071229	7227_FBpp0305833	1	0.24589679	0
7227_FBpp0070832	7227_FBpp0076207	1	0.5621036	1
7227_FBpp0070476	7227_FBpp0072130	1	0.55805296	1
7227_FBpp0072801	7227_FBpp0084617	1	1.0	1
7227_FBpp0074554	7227_FBpp0110438	1	0.9999997	1
7227_FBpp0271779	7227_FBpp0291015	1	0.9999443	1
7227_FBpp0072476	7227_FBpp0073502	1	0.05253142	0
7227_FBpp0078568	7227_FBpp0081544	1	0.6466158	1
7227_FBpp0072503	7227_FBpp0073149	1	0.64564097	1
7227_FBpp0076647	7227_FBpp0081849	1	0.2052271	0
7227_FBpp0079052	7227_FBpp0082158	1	0.0010013259	0
7227_FBpp0074562	7227_FBpp0081334	1	0.18648848	0
