proteinA	proteinB	label	prediction	predictionLabel
9606_ENSP00000397912	9606_ENSP00000389381	1	0.9867487	1
9606_ENSP00000265339	9606_ENSP00000293968	1	0.9102224	1
9606_ENSP00000259727	9606_ENSP00000419851	1	0.8559637	1
9606_ENSP00000480334	9606_ENSP00000395401	1	0.9934198	1
9606_ENSP00000225728	9606_ENSP00000255764	1	0.6021184	1
9606_ENSP00000345963	9606_ENSP00000478877	1	0.9424042	1
9606_ENSP00000468663	9606_ENSP00000326500	1	0.078971244	0
9606_ENSP00000428581	9606_ENSP00000342676	1	0.8142161	1
9606_ENSP00000362937	9606_ENSP00000401470	1	0.5572729	1
9606_ENSP00000296792	9606_ENSP00000451345	1	0.7750882	1
9606_ENSP00000261597	9606_ENSP00000476760	1	0.7656689	1
9606_ENSP00000298288	9606_ENSP00000464594	1	0.6929839	1
9606_ENSP00000299166	9606_ENSP00000425882	1	0.9807499	1
9606_ENSP00000392850	9606_ENSP00000433170	1	0.9862869	1
9606_ENSP00000441332	9606_ENSP00000390867	1	0.99495876	1
9606_ENSP00000252440	9606_ENSP00000337853	1	0.44615906	0
9606_ENSP00000415973	9606_ENSP00000361626	1	0.9999744	1
9606_ENSP00000446013	9606_ENSP00000380998	1	0.93380094	1
9606_ENSP00000467146	9606_ENSP00000290541	1	0.99962234	1
9606_ENSP00000452636	9606_ENSP00000431800	1	0.999937	1
9606_ENSP00000421422	9606_ENSP00000390790	1	0.9600259	1
9606_ENSP00000386500	9606_ENSP00000429419	1	0.46073937	0
9606_ENSP00000296102	9606_ENSP00000347969	1	0.8916153	1
9606_ENSP00000400211	9606_ENSP00000324944	1	0.6197326	1
9606_ENSP00000337853	9606_ENSP00000485133	1	0.9714508	1
9606_ENSP00000278572	9606_ENSP00000368927	1	0.9992987	1
9606_ENSP00000430545	9606_ENSP00000484903	1	0.99999654	1
9606_ENSP00000392850	9606_ENSP00000434837	1	0.9958363	1
9606_ENSP00000053468	9606_ENSP00000400467	1	0.9127803	1
9606_ENSP00000400727	9606_ENSP00000451252	1	0.43153906	0
9606_ENSP00000348838	9606_ENSP00000356479	1	0.70881146	1
9606_ENSP00000470098	9606_ENSP00000466063	1	0.7289387	1
9606_ENSP00000457239	9606_ENSP00000427514	1	0.73355204	1
9606_ENSP00000350098	9606_ENSP00000424048	1	0.41304836	0
9606_ENSP00000324124	9606_ENSP00000432154	1	0.40686172	0
9606_ENSP00000427365	9606_ENSP00000434816	1	0.99939454	1
9606_ENSP00000480549	9606_ENSP00000314458	1	0.39276338	0
9606_ENSP00000438284	9606_ENSP00000453560	1	0.16398661	0
9606_ENSP00000452940	9606_ENSP00000418695	1	0.986366	1
9606_ENSP00000274242	9606_ENSP00000379888	1	0.9999438	1
9606_ENSP00000466142	9606_ENSP00000265339	1	0.9762362	1
9606_ENSP00000422772	9606_ENSP00000471185	1	0.99990195	1
9606_ENSP00000369162	9606_ENSP00000481646	1	0.97638655	1
9606_ENSP00000296555	9606_ENSP00000293968	1	0.6563298	1
9606_ENSP00000358300	9606_ENSP00000358320	1	0.7491354	1
9606_ENSP00000356720	9606_ENSP00000418933	1	0.44268894	0
9606_ENSP00000448615	9606_ENSP00000439952	1	0.46967876	0
9606_ENSP00000471874	9606_ENSP00000228140	1	0.9999969	1
9606_ENSP00000386920	9606_ENSP00000296102	1	0.99993557	1
9606_ENSP00000482557	9606_ENSP00000480472	1	0.9853289	1
9606_ENSP00000429384	9606_ENSP00000362105	1	0.9234737	1
9606_ENSP00000249299	9606_ENSP00000430021	1	0.9999064	1
9606_ENSP00000463202	9606_ENSP00000478887	1	0.9710001	1
9606_ENSP00000273047	9606_ENSP00000310406	1	0.2079801	0
9606_ENSP00000435333	9606_ENSP00000351021	1	0.9999877	1
9606_ENSP00000383941	9606_ENSP00000403891	1	0.67470944	1
9606_ENSP00000453972	9606_ENSP00000394014	1	0.9823779	1
9606_ENSP00000464599	9606_ENSP00000451345	1	0.88738453	1
9606_ENSP00000466791	9606_ENSP00000400467	1	0.9995748	1
9606_ENSP00000437996	9606_ENSP00000382966	1	0.9960089	1
9606_ENSP00000358854	9606_ENSP00000432154	1	0.7879559	1
9606_ENSP00000293860	9606_ENSP00000361171	1	0.7697447	1
9606_ENSP00000369741	9606_ENSP00000378081	1	0.9999925	1
9606_ENSP00000413875	9606_ENSP00000424359	1	0.748813	1
9606_ENSP00000261015	9606_ENSP00000265245	1	0.7974918	1
9606_ENSP00000368801	9606_ENSP00000400591	1	0.78960645	1
9606_ENSP00000483260	9606_ENSP00000377865	1	0.99989235	1
9606_ENSP00000266735	9606_ENSP00000475218	1	0.7062899	1
9606_ENSP00000323099	9606_ENSP00000465569	1	0.81358635	1
9606_ENSP00000428962	9606_ENSP00000419084	1	0.9996779	1
9606_ENSP00000323046	9606_ENSP00000469431	1	0.6250804	1
9606_ENSP00000386469	9606_ENSP00000419782	1	0.8880429	1
9606_ENSP00000259895	9606_ENSP00000358487	1	0.88907003	1
9606_ENSP00000290541	9606_ENSP00000378739	1	0.7551602	1
9606_ENSP00000354728	9606_ENSP00000376018	1	0.9982194	1
