proteinA	proteinB	label	prediction	predictionLabel
10090_ENSMUSP00000002551	10090_ENSMUSP00000044178	1	0.9999568	1
10090_ENSMUSP00000106249	10090_ENSMUSP00000110731	1	0.9998372	1
10090_ENSMUSP00000109313	10090_ENSMUSP00000055941	1	0.9680632	1
10090_ENSMUSP00000124695	10090_ENSMUSP00000117609	1	0.617857	1
10090_ENSMUSP00000139467	10090_ENSMUSP00000120807	1	0.78331125	1
10090_ENSMUSP00000073880	10090_ENSMUSP00000123410	1	0.9997227	1
10090_ENSMUSP00000115037	10090_ENSMUSP00000119203	1	0.991109	1
10090_ENSMUSP00000111507	10090_ENSMUSP00000070503	1	0.38212758	0
10090_ENSMUSP00000120137	10090_ENSMUSP00000125442	1	0.96181214	1
10090_ENSMUSP00000003635	10090_ENSMUSP00000088880	1	0.4355333	0
10090_ENSMUSP00000121845	10090_ENSMUSP00000127507	1	0.9890535	1
10090_ENSMUSP00000023514	10090_ENSMUSP00000080992	1	0.9998977	1
10090_ENSMUSP00000050313	10090_ENSMUSP00000098333	1	0.63234746	1
10090_ENSMUSP00000089590	10090_ENSMUSP00000096445	1	0.64506936	1
10090_ENSMUSP00000097527	10090_ENSMUSP00000139720	1	0.1949012	0
10090_ENSMUSP00000135324	10090_ENSMUSP00000064002	1	0.0606141	0
10090_ENSMUSP00000114649	10090_ENSMUSP00000134784	1	0.9996145	1
10090_ENSMUSP00000119076	10090_ENSMUSP00000121845	1	0.68654025	1
10090_ENSMUSP00000135885	10090_ENSMUSP00000131330	1	0.74565357	1
10090_ENSMUSP00000106900	10090_ENSMUSP00000126345	1	0.912784	1
10090_ENSMUSP00000048337	10090_ENSMUSP00000114529	1	0.9598573	1
10090_ENSMUSP00000022245	10090_ENSMUSP00000037783	1	0.9062977	1
10090_ENSMUSP00000020361	10090_ENSMUSP00000136247	1	0.9082811	1
10090_ENSMUSP00000098097	10090_ENSMUSP00000138555	1	0.5337014	1
10090_ENSMUSP00000113148	10090_ENSMUSP00000048377	1	0.99945605	1
10090_ENSMUSP00000026420	10090_ENSMUSP00000128416	1	0.99743724	1
10090_ENSMUSP00000014447	10090_ENSMUSP00000078682	1	0.61268747	1
10090_ENSMUSP00000118404	10090_ENSMUSP00000121616	1	0.06562568	0
10090_ENSMUSP00000079340	10090_ENSMUSP00000099757	1	0.9999994	1
10090_ENSMUSP00000116996	10090_ENSMUSP00000028083	1	0.9280435	1
10090_ENSMUSP00000000365	10090_ENSMUSP00000099757	1	0.99917567	1
10090_ENSMUSP00000020908	10090_ENSMUSP00000090277	1	0.31470114	0
10090_ENSMUSP00000136328	10090_ENSMUSP00000131056	1	0.62827766	1
10090_ENSMUSP00000027393	10090_ENSMUSP00000028278	1	0.7833936	1
10090_ENSMUSP00000135101	10090_ENSMUSP00000038263	1	0.34116474	0
10090_ENSMUSP00000023502	10090_ENSMUSP00000118991	1	0.6499805	1
10090_ENSMUSP00000087896	10090_ENSMUSP00000119261	1	0.6823948	1
10090_ENSMUSP00000029447	10090_ENSMUSP00000125415	1	0.20694757	0
10090_ENSMUSP00000031617	10090_ENSMUSP00000099909	1	0.6922241	1
10090_ENSMUSP00000020478	10090_ENSMUSP00000135115	1	0.6189773	1
10090_ENSMUSP00000123493	10090_ENSMUSP00000129728	1	0.43245173	0
10090_ENSMUSP00000101626	10090_ENSMUSP00000072320	1	0.99998707	1
10090_ENSMUSP00000008036	10090_ENSMUSP00000117361	1	0.38847363	0
10090_ENSMUSP00000039418	10090_ENSMUSP00000110804	1	0.12231697	0
10090_ENSMUSP00000025106	10090_ENSMUSP00000030743	1	0.8727807	1
10090_ENSMUSP00000002733	10090_ENSMUSP00000102145	1	0.9962003	1
10090_ENSMUSP00000006377	10090_ENSMUSP00000009102	1	0.30299732	0
10090_ENSMUSP00000020203	10090_ENSMUSP00000020397	1	0.9996091	1
10090_ENSMUSP00000119036	10090_ENSMUSP00000039568	1	0.3267417	0
10090_ENSMUSP00000088845	10090_ENSMUSP00000123780	1	0.9975141	1
10090_ENSMUSP00000044178	10090_ENSMUSP00000125727	1	0.97676873	1
10090_ENSMUSP00000113722	10090_ENSMUSP00000089590	1	0.679695	1
10090_ENSMUSP00000018337	10090_ENSMUSP00000126874	1	0.5805688	1
10090_ENSMUSP00000019071	10090_ENSMUSP00000065799	1	0.092285536	0
10090_ENSMUSP00000005798	10090_ENSMUSP00000034470	1	0.59221286	1
10090_ENSMUSP00000021734	10090_ENSMUSP00000119921	1	0.12830484	0
10090_ENSMUSP00000019843	10090_ENSMUSP00000122756	1	0.56718385	1
10090_ENSMUSP00000007980	10090_ENSMUSP00000124950	1	0.9350164	1
10090_ENSMUSP00000106249	10090_ENSMUSP00000110886	1	0.99831307	1
10090_ENSMUSP00000081002	10090_ENSMUSP00000103743	1	0.9998648	1
10090_ENSMUSP00000029975	10090_ENSMUSP00000067897	1	0.05341828	0
10090_ENSMUSP00000008517	10090_ENSMUSP00000055941	1	0.99976397	1
10090_ENSMUSP00000105235	10090_ENSMUSP00000024739	1	0.7814497	1
10090_ENSMUSP00000104265	10090_ENSMUSP00000019950	1	0.9335029	1
10090_ENSMUSP00000028977	10090_ENSMUSP00000109340	1	0.3349585	0
10090_ENSMUSP00000114149	10090_ENSMUSP00000071955	1	0.85120255	1
10090_ENSMUSP00000048078	10090_ENSMUSP00000066493	1	0.99997634	1
10090_ENSMUSP00000127712	10090_ENSMUSP00000106251	1	0.3757581	0
10090_ENSMUSP00000116148	10090_ENSMUSP00000090958	1	0.15660474	0
10090_ENSMUSP00000058919	10090_ENSMUSP00000103940	1	0.9976371	1
10090_ENSMUSP00000060828	10090_ENSMUSP00000140628	1	2.227558e-05	0
10090_ENSMUSP00000009774	10090_ENSMUSP00000070002	1	0.9993596	1
10090_ENSMUSP00000030365	10090_ENSMUSP00000099325	1	0.8412857	1
10090_ENSMUSP00000112884	10090_ENSMUSP00000128325	1	0.0007736241	0
10090_ENSMUSP00000023525	10090_ENSMUSP00000129157	1	0.97402143	1
10090_ENSMUSP00000134107	10090_ENSMUSP00000121201	1	0.37342432	0
10090_ENSMUSP00000115571	10090_ENSMUSP00000065352	1	0.9897301	1
10090_ENSMUSP00000020640	10090_ENSMUSP00000038352	1	0.9987526	1
10090_ENSMUSP00000030128	10090_ENSMUSP00000034388	1	0.8677692	1
10090_ENSMUSP00000047646	10090_ENSMUSP00000062677	1	0.36351222	0
10090_ENSMUSP00000101583	10090_ENSMUSP00000043204	1	0.6107331	1
10090_ENSMUSP00000122477	10090_ENSMUSP00000099766	1	0.4843387	0
10090_ENSMUSP00000116464	10090_ENSMUSP00000086207	1	0.3959639	0
10090_ENSMUSP00000003345	10090_ENSMUSP00000033505	1	0.23444352	0
10090_ENSMUSP00000030730	10090_ENSMUSP00000113995	1	0.33987057	0
10090_ENSMUSP00000042374	10090_ENSMUSP00000079306	1	0.9979225	1
10090_ENSMUSP00000033433	10090_ENSMUSP00000100771	1	0.18862116	0
10090_ENSMUSP00000139467	10090_ENSMUSP00000132102	1	0.9998667	1
10090_ENSMUSP00000135815	10090_ENSMUSP00000026990	1	0.5227077	1
10090_ENSMUSP00000123398	10090_ENSMUSP00000052322	1	0.029763222	0
10090_ENSMUSP00000117732	10090_ENSMUSP00000123780	1	0.5801691	1
10090_ENSMUSP00000002473	10090_ENSMUSP00000071462	1	0.26012528	0
10090_ENSMUSP00000104726	10090_ENSMUSP00000035099	1	0.5463388	1
10090_ENSMUSP00000031670	10090_ENSMUSP00000065157	1	0.87028044	1
10090_ENSMUSP00000032597	10090_ENSMUSP00000046016	1	0.8915959	1
10090_ENSMUSP00000102853	10090_ENSMUSP00000111301	1	0.47721922	0
10090_ENSMUSP00000123580	10090_ENSMUSP00000126345	1	0.7223528	1
10090_ENSMUSP00000099437	10090_ENSMUSP00000019911	1	0.8838471	1
10090_ENSMUSP00000000137	10090_ENSMUSP00000046991	1	0.7510328	1
10090_ENSMUSP00000108519	10090_ENSMUSP00000120528	1	0.9247987	1
10090_ENSMUSP00000135672	10090_ENSMUSP00000121624	1	0.57137173	1
10090_ENSMUSP00000021077	10090_ENSMUSP00000050716	1	0.4365481	0
10090_ENSMUSP00000047960	10090_ENSMUSP00000113022	1	0.99989784	1
10090_ENSMUSP00000086417	10090_ENSMUSP00000119515	1	0.85331297	1
10090_ENSMUSP00000126143	10090_ENSMUSP00000103828	1	0.77243775	1
10090_ENSMUSP00000087950	10090_ENSMUSP00000112595	1	0.24297912	0
10090_ENSMUSP00000109817	10090_ENSMUSP00000096932	1	0.39351046	0
10090_ENSMUSP00000096475	10090_ENSMUSP00000129492	1	0.99997586	1
10090_ENSMUSP00000028278	10090_ENSMUSP00000132368	1	0.94760555	1
10090_ENSMUSP00000003433	10090_ENSMUSP00000004990	1	0.6271394	1
10090_ENSMUSP00000003642	10090_ENSMUSP00000025804	1	0.9850508	1
10090_ENSMUSP00000048244	10090_ENSMUSP00000112658	1	0.17354745	0
10090_ENSMUSP00000022971	10090_ENSMUSP00000095580	1	0.105547294	0
10090_ENSMUSP00000025241	10090_ENSMUSP00000043566	1	0.9990529	1
10090_ENSMUSP00000006181	10090_ENSMUSP00000121880	1	0.9955118	1
10090_ENSMUSP00000030348	10090_ENSMUSP00000123580	1	0.8748411	1
10090_ENSMUSP00000024956	10090_ENSMUSP00000095915	1	0.9009924	1
10090_ENSMUSP00000010201	10090_ENSMUSP00000026833	1	0.81213194	1
10090_ENSMUSP00000030014	10090_ENSMUSP00000105323	1	0.9995146	1
10090_ENSMUSP00000022097	10090_ENSMUSP00000116828	1	0.9998064	1
10090_ENSMUSP00000126143	10090_ENSMUSP00000108200	1	0.3296342	0
10090_ENSMUSP00000017620	10090_ENSMUSP00000092038	1	0.17324948	0
