proteinA	proteinB	label	prediction	predictionLabel
6239_K04G7_10_1	6239_Y49E10_15	1	0.96838224	1
6239_B0513_3b	6239_F42C5_8	1	0.9999651	1
6239_C46H11_3	6239_K07C5_1	1	0.41411117	0
6239_F23H12_1_1	6239_F29G9_3	1	0.8780052	1
6239_F56E10_4_2	6239_Y71A12B_1a	1	0.99961036	1
6239_K04D7_1_2	6239_Y71F9AL_13b_4	1	0.8439437	1
6239_T05C12_6a	6239_Y73B6BL_21	1	0.10556914	0
6239_R01H2_6	6239_T05G5_3_1	1	0.9986342	1
6239_C26D10_2b	6239_F26B1_2e	1	0.9384975	1
6239_W01B6_1	6239_Y71F9B_5b_3	1	0.29232872	0
6239_B0513_3b	6239_ZK512_4	1	0.4690017	0
6239_B0250_1	6239_Y37E3_8b_1	1	0.99999875	1
6239_F44B9_3b	6239_R02D3_3b	1	0.75135136	1
6239_H06I04_4b	6239_Y54E5B_4	1	0.9009564	1
6239_C30H7_2a_2	6239_T05C3_5	1	0.5558996	1
6239_F29B9_6	6239_W02A11_4	1	0.9238341	1
6239_C27A2_2a	6239_C53H9_1	1	0.9999904	1
6239_F10G7_8_1	6239_Y38A8_2	1	0.9793425	1
6239_B0511_10	6239_T16G1_11	1	0.9304071	1
6239_W08E3_1	6239_Y47D3A_27	1	0.66141903	1
6239_K08D12_1	6239_Y38A8_2	1	0.9363497	1
6239_C30F12_7	6239_C34F6_8_3	1	0.9678157	1
6239_C06A8_4	6239_C28G1_10	1	0.2658988	0
6239_M28_5_2	6239_Y54F10BM_14	1	0.6309739	1
6239_C16A3_5_2	6239_C25H3_9a	1	0.99907136	1
6239_K03B4_3b_2	6239_T12D8_7	1	0.8686068	1
6239_F39B2_6_1	6239_Y37E3_8b_1	1	0.99997133	1
6239_B0280_9	6239_C48B6_2	1	0.9998692	1
6239_E04A4_8	6239_F56E10_4_2	1	0.8185308	1
6239_C03C11_2	6239_C40H1_1	1	0.0002270039	0
6239_C26F1_4_1	6239_C42C1_14_1	1	0.9999831	1
6239_R11D1_8_1	6239_Y41D4B_5	1	0.695615	1
6239_C39F7_4	6239_Y57A10A_16	1	0.16337612	0
6239_B0393_1_1	6239_K02B2_5	1	0.7378967	1
6239_C14A4_2	6239_F59A3_3	1	0.8995286	1
6239_F29B9_6	6239_F45H11_2	1	0.7645886	1
6239_B0547_1	6239_R12H7_5	1	0.4916045	0
6239_T05F1_3_2	6239_Y65B4A_6	1	0.758734	1
6239_C32E8_2b	6239_F33D11_10	1	0.7665312	1
6239_C25D7_7	6239_F55A4_1	1	0.8912831	1
6239_C50D2_5	6239_T10G3_6a	1	0.9978076	1
6239_C17G10_9b	6239_R08D7_3	1	0.86879265	1
6239_C08B11_5	6239_Y57A10A_19	1	0.8512983	1
6239_F40F8_10	6239_R08D7_3	1	0.99230057	1
6239_F58B3_7	6239_T10C6_5	1	0.6477354	1
6239_VC5_4_2	6239_ZC302_2a	1	0.6257508	1
6239_T01E8_6	6239_ZK1098_7	1	0.90550125	1
6239_K04G2_1_2	6239_Y40B1B_5_2	1	0.8823114	1
6239_W10D5_2_1	6239_Y113G7B_17_2	1	0.5673877	1
6239_T09A5_8	6239_Y43F4B_3	1	0.3404894	0
6239_C50D2_5	6239_T27F2_1	1	0.88339937	1
6239_C09H10_2	6239_F55C5_8	1	0.74900854	1
6239_C33H5_12a	6239_C44B7_2a_1	1	0.9774162	1
6239_T19H12_2	6239_ZK616_4_2	1	0.64061135	1
6239_F27C1_7b	6239_R04F11_2_2	1	0.8056667	1
6239_F22E12_4a_1	6239_F42G4_3e_2	1	0.09073251	0
6239_F28D9_1	6239_Y49E10_15	1	0.6936846	1
6239_T28D9_10b	6239_W08E3_1	1	0.99958944	1
6239_C06B3_8	6239_C09G4_2a	1	0.066617645	0
6239_F58E10_3a_5	6239_K08D10_3a	1	0.98460317	1
6239_T12A2_2_3	6239_T22D1_4	1	0.6247151	1
6239_Y37E3_7_2	6239_Y37E3_8b_1	1	0.99987423	1
6239_T28D9_2c	6239_W03F9_10	1	0.8499459	1
6239_H14E04_5	6239_H25P06_2b	1	0.58385706	1
6239_F28C6_7b_1	6239_Y48A6B_3	1	0.8096215	1
6239_K08H2_6	6239_R06A4_7	1	0.09385833	0
6239_B0336_10_2	6239_F40F8_10	1	0.99980944	1
