proteinA	proteinB	label	prediction	predictionLabel
4932_YMR188C	4932_YOR182C	1	0.9072466	1
4932_YGL103W	4932_YPL013C	1	0.9998666	1
4932_YGR167W	4932_YLR206W	1	0.5251988	1
4932_YFL037W	4932_YJL159W	1	0.24246478	0
4932_YDL130W	4932_YPL079W	1	0.9992999	1
4932_YCR005C	4932_YDR148C	1	0.95916104	1
4932_YBL027W	4932_YOL077C	1	0.9992462	1
4932_YDR341C	4932_YHR020W	1	0.74894345	1
4932_YMR227C	4932_YMR236W	1	0.8611585	1
4932_YIL133C	4932_YPL131W	1	0.99978006	1
4932_YDR087C	4932_YER002W	1	0.6707852	1
4932_YAR018C	4932_YBR159W	1	0.042187843	0
4932_YMR168C	4932_YPL209C	1	0.050548423	0
4932_YCR063W	4932_YMR240C	1	0.15907507	0
4932_YER126C	4932_YJL190C	1	0.99659574	1
4932_YBR189W	4932_YNL302C	1	0.9990265	1
4932_YBR189W	4932_YPR163C	1	0.807088	1
4932_YDL113C	4932_YHR012W	1	0.13846262	0
4932_YGR081C	4932_YGR214W	1	0.9927919	1
4932_YBR217W	4932_YGL078C	1	0.41944015	0
4932_YIL094C	4932_YJL200C	1	0.9365523	1
4932_YDR472W	4932_YEL048C	1	0.23651117	0
4932_YBL003C	4932_YOL054W	1	0.4768573	0
4932_YDR448W	4932_YKR008W	1	0.5770439	1
4932_YER148W	4932_YPL122C	1	0.925214	1
4932_YDR456W	4932_YKL190W	1	0.15204287	0
4932_YDL161W	4932_YNL020C	1	0.15048602	0
4932_YIL091C	4932_YPR137W	1	0.7611331	1
4932_YER162C	4932_YHR039C	1	0.13837875	0
4932_YDR041W	4932_YDR347W	1	0.7765292	1
4932_YAL054C	4932_YLR049C	1	0.0053381543	0
4932_YGL050W	4932_YIL050W	1	0.052824337	0
4932_YEL017W	4932_YNL293W	1	0.0135158505	0
4932_YDR195W	4932_YKL018W	1	0.9302884	1
4932_YNL249C	4932_YNR033W	1	0.013469945	0
4932_YMR203W	4932_YNL131W	1	0.46780398	0
4932_YCR031C	4932_YER131W	1	0.99978137	1
4932_YDR064W	4932_YLR340W	1	0.99019504	1
4932_YFL017W-A	4932_YLR117C	1	0.99986005	1
4932_YCR077C	4932_YLR264W	1	0.9662438	1
4932_YKL003C	4932_YNL122C	1	0.9999627	1
4932_YGL123W	4932_YHR065C	1	0.8532739	1
4932_YLR191W	4932_YOL044W	1	0.17099768	0
4932_YBL092W	4932_YOR369C	1	0.91688466	1
4932_YBR247C	4932_YOR119C	1	0.65757453	1
4932_YDR450W	4932_YDR471W	1	0.99997824	1
4932_YPL131W	4932_YPL198W	1	0.99633646	1
4932_YNR017W	4932_YPL098C	1	0.74540496	1
4932_YDL143W	4932_YOR281C	1	0.9247806	1
4932_YML124C	4932_YMR272C	1	0.060488544	0
4932_Q0140	4932_YPL118W	1	0.7958933	1
4932_YGL011C	4932_YMR314W	1	0.93104935	1
4932_YBR048W	4932_YER082C	1	0.9999995	1
4932_YBR143C	4932_YPL131W	1	0.9997159	1
4932_YDR254W	4932_YER116C	1	0.30666336	0
4932_YBR154C	4932_YMR277W	1	0.6717502	1
4932_YOL094C	4932_YOR368W	1	0.7647359	1
4932_YFL039C	4932_YPL204W	1	0.9734742	1
4932_YNL177C	4932_YPR100W	1	0.99962735	1
4932_YJL014W	4932_YOR020C	1	0.8340712	1
4932_YER136W	4932_YJL031C	1	0.9625084	1
4932_YJR007W	4932_YPL081W	1	0.99940217	1
4932_YGR225W	4932_YOR026W	1	0.6798284	1
4932_YDR174W	4932_YLR455W	1	0.12461394	0
4932_YKR060W	4932_YPR144C	1	0.70489246	1
4932_YLR441C	4932_YPL131W	1	0.9998574	1
4932_YGR285C	4932_YOR091W	1	0.07309724	0
4932_YDR189W	4932_YLR268W	1	0.8442148	1
4932_YBR119W	4932_YPL178W	1	0.43176842	0
4932_YDR296W	4932_YGR220C	1	0.9341833	1
4932_YMR048W	4932_YOR368W	1	0.6395359	1
4932_YFR001W	4932_YKL130C	1	0.10954286	0
4932_YBR272C	4932_YLR048W	1	0.65017503	1
4932_YCL009C	4932_YLR006C	1	0.03010194	0
4932_YKL009W	4932_YNL175C	1	0.6518776	1
4932_YMR127C	4932_YNL107W	1	0.50120795	1
4932_YLR200W	4932_YLR212C	1	0.9610194	1
4932_YDL060W	4932_YOR145C	1	0.7452849	1
4932_YDR101C	4932_YDR168W	1	0.20546181	0
4932_YBR087W	4932_YOL094C	1	0.6067866	1
4932_YER043C	4932_YLR303W	1	0.40384653	0
4932_YBR118W	4932_YDR012W	1	0.9999639	1
4932_YLL050C	4932_YOR181W	1	0.5851325	1
4932_YAL016W	4932_YLR433C	1	0.22724551	0
4932_YPL093W	4932_YPR041W	1	0.6696373	1
4932_YBL024W	4932_YDR382W	1	0.74572134	1
4932_YEL009C	4932_YNL209W	1	0.67768776	1
4932_YGR186W	4932_YMR277W	1	0.48954067	0
4932_YDR052C	4932_YDR388W	1	0.32128972	0
4932_YER148W	4932_YKL062W	1	0.23463115	0
4932_YLL006W	4932_YNL209W	1	0.16524073	0
4932_YNL137C	4932_YOR158W	1	0.81142366	1
4932_YDR064W	4932_YGL147C	1	0.99926436	1
4932_YGR253C	4932_YOR259C	1	0.9535721	1
4932_YBL016W	4932_YPL089C	1	0.71404624	1
4932_YPL129W	4932_YPR187W	1	0.6315759	1
4932_YER025W	4932_YPR041W	1	0.95927274	1
4932_YDL014W	4932_YNL047C	1	0.18619801	0
4932_YFL034C-A	4932_YLR009W	1	0.9953685	1
4932_YOL001W	4932_YPL031C	1	0.67792547	1
4932_YFL039C	4932_YJR119C	1	0.9147454	1
4932_YFR011C	4932_YKR016W	1	0.69689953	1
4932_YNL302C	4932_YPR080W	1	0.8582862	1
4932_YKL058W	4932_YPL122C	1	0.58992845	1
4932_YMR228W	4932_YPR186C	1	0.26775235	0
4932_YDR383C	4932_YPL002C	1	0.29716343	0
4932_YMR322C	4932_YNL260C	1	2.4617411e-06	0
4932_YGR048W	4932_YJL149W	1	0.4028551	0
4932_YBL032W	4932_YPL237W	1	0.21454635	0
4932_YOL135C	4932_YPR025C	1	0.2758889	0
4932_YER088C	4932_YPL181W	1	0.07348392	0
4932_YDL060W	4932_YOR369C	1	0.96413684	1
4932_YDR083W	4932_YOL041C	1	0.7798302	1
4932_YDL213C	4932_YHR088W	1	0.99257934	1
4932_YBL027W	4932_YDR237W	1	0.99999964	1
4932_YDL075W	4932_YIL133C	1	0.99998343	1
4932_YBL067C	4932_YJL203W	1	0.025451563	0
4932_YLR029C	4932_YLR167W	1	0.86516786	1
4932_YGR245C	4932_YLR074C	1	0.78668976	1
4932_YGL019W	4932_YML069W	1	0.7063035	1
4932_YDR174W	4932_YML015C	1	0.22670463	0
4932_YDR517W	4932_YGR136W	1	0.26422027	0
4932_YER012W	4932_YJL132W	1	0.014768831	0
4932_YER158C	4932_YKL120W	1	1.7151718e-11	0
4932_YGR034W	4932_YOR234C	1	0.999927	1
4932_YJR094W-A	4932_YNL067W	1	0.9983256	1
4932_YBR002C	4932_YBR003W	1	0.13363633	0
4932_YDR353W	4932_YGR209C	1	0.63100874	1
4932_YCR077C	4932_YMR116C	1	0.999919	1
4932_YDL014W	4932_YER102W	1	0.9999924	1
4932_YKR081C	4932_YNR038W	1	0.7891711	1
4932_YDL060W	4932_YOR293W	1	0.99136555	1
4932_YJR121W	4932_YLR363C	1	0.19725196	0
4932_YBR160W	4932_YER095W	1	0.9673955	1
4932_YER126C	4932_YLR325C	1	0.7504796	1
4932_YER120W	4932_YHR174W	1	0.48783964	0
4932_YLR179C	4932_YNL185C	1	0.47951043	0
4932_YDL082W	4932_YNL178W	1	0.99591625	1
4932_YBR031W	4932_YER126C	1	0.9999994	1
4932_YIL104C	4932_YPL240C	1	0.7547214	1
4932_YIL113W	4932_YLR258W	1	0.069531046	0
4932_YBL026W	4932_YPR178W	1	0.998994	1
4932_YIL063C	4932_YPL169C	1	0.45235208	0
4932_YER122C	4932_YIL044C	1	0.48381904	0
4932_YKL095W	4932_YMR213W	1	0.66569847	1
4932_YDL014W	4932_YOR056C	1	0.98600453	1
4932_YDR021W	4932_YPL079W	1	0.44456524	0
4932_YAL054C	4932_YLR153C	1	0.36884716	0
4932_YGR159C	4932_YHR089C	1	0.98772776	1
4932_YDR419W	4932_YDR477W	1	0.3419793	0
4932_YDL136W	4932_YOR234C	1	0.9999816	1
4932_YER133W	4932_YKR008W	1	0.94407696	1
4932_YHL004W	4932_YNL081C	1	0.6426715	1
4932_YFR023W	4932_YGL147C	1	0.66015303	1
